rms_raw,rms_db,rms_log1p,rms_cv,rms_skew,rms_kurtosis,mfcc1_mean,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,very_low_ratio,low_ratio,mid_low_ratio,mid_ratio,high_ratio,ratio_band_energy_mean,ratio_band_energy_std,spectral_ratio_hl,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,zcr_mean,zcr_std,flux_mean,flux_std,freq_dom_mean,freq_dom_std,device_id,debit
6.947847034382121e-05,-83.16298253166558,6.947605682669156e-05,0.09768134355545044,-1.7809228897094727,3.1416893005371094,-806.6982498735542,134.62754330550817,4.1288955730438515,-89.99307616503717,5.758820596480856,32.69089353238579,4.694331676392049,-19.064498107049875,6.25854316310534,-22.931850127245543,4.342197933383853,4.051333138687128,2.935569790482841,-34.5294008822388,3.648057150611732,-6.772317791410771,2.5198300081355973,-15.15666383680474,3.2932890855066543,-21.303219920219075,3.905023742974922,-8.71885373470063,3.041565181900742,-21.39097789974193,3.9089052272967204,0.2256572063535345,0.25696152921092175,0.24351581635934913,0.17471949148137267,0.08888897770176038,2.373852022143806,0.16960204299619464,0.18554781012215021,7.51507619891744,0.026507737209100945,7.205716596188944,0.041696310101003387,8.144883439617457,0.01878769239178452,0.003972626007166524,0.0014029139386329721,0.1380282315340909,0.020262942575930656,0.030435265498090096,0.0021136418795156702,0.10036399147727272,0.04837675951587185,A50,0.0
7.17665330816454e-05,-82.88154856270553,7.176395798721311e-05,0.09503056854009628,-2.4109983444213867,5.2442522048950195,-803.2920891053502,136.2356013669388,3.825998991106445,-90.20277774905544,4.655011609803724,32.69905845353972,3.3317932836387083,-20.226098200995157,4.567483193325621,-22.687839687578165,3.432174071935792,4.826518189744522,3.3525550003500744,-34.543127042568074,4.976173113052775,-7.210575650031436,4.823967722199433,-16.26960827782977,5.322217568029603,-22.40702425176865,4.820715353512668,-8.688127864820203,2.810351380401082,-20.164211705482415,3.881755135331394,0.21532846875736683,0.28159540232132213,0.23360026750699972,0.16838460114554063,0.09172821674189133,2.3258585516740076,0.33806998541241723,0.18122186108850757,7.511963955434877,0.027920645417236142,7.205770233167248,0.04011115034619483,8.150081334890821,0.020945874371462912,0.0038754049858804765,0.0015783416210326357,0.13498757102272727,0.01772102441465733,0.03112347328780637,0.0019807727892019525,0.08580433238636363,0.04156918063760987,A50,0.0
7.009999268300323e-05,-83.08562815658972,7.009753579333411e-05,0.10239716619253159,-1.9437123537063599,2.9505739212036133,-805.4466794113171,134.59350895420528,3.6577701961998543,-90.05144328555146,3.2621858817200504,32.44058810472273,2.74165979756271,-19.949600937051386,3.6462317032379543,-23.29831546686449,4.729423702031536,2.3261300560154576,4.732042734007697,-33.20520627568344,5.5986119944205175,-4.432349641270016,4.157718861563032,-15.367003608081719,3.304082376460649,-21.904048743609863,4.10604688918465,-10.309443601272585,3.5232963205422214,-20.65679935983528,4.181646876628161,0.23546664503597883,0.25989347866288215,0.2284792530867898,0.18296434094837424,0.08473590896723744,2.421877212072099,0.27714917031515723,0.1826562547319641,7.513007598972316,0.027591137959247194,7.2072949455469795,0.04043064875558219,8.14407384183133,0.016350440845950234,0.004202934101705697,0.0021744608884086063,0.13054865056818182,0.018164244742154285,0.030728520250984166,0.002492422327321086,0.08558238636363637,0.03911411878697262,A50,0.0
6.631046005010595e-05,-83.56834608158988,6.630826160873583e-05,0.08248790353536606,-2.3132219314575195,4.943547248840332,-807.3679854636556,132.22701545036244,4.2632604203794005,-89.10401670437392,7.563249274479131,34.20031443817406,4.452788216688391,-20.98904669045924,6.063451386467821,-22.324164909488612,6.790298968933623,4.860869954291673,6.30235710675945,-32.6322553112447,5.15777569152336,-4.193141969803588,3.0395067870477765,-15.032118446012989,3.4408888621488516,-21.09703224527325,3.857710692693085,-8.710425607109558,5.535391363572824,-20.7398144599947,7.2390216551081,0.21015299873839097,0.26385922109859095,0.23775859947283884,0.17669900687143802,0.1023420256466058,2.3966161343665817,0.20159990923299834,0.18999138810561558,7.538016747192902,0.02333737635416229,7.220880269301327,0.0417935210312468,8.169536415208112,0.011885567320198577,0.00438505583980787,0.001891798861977407,0.1382723721590909,0.02146652936468389,0.030212545225638637,0.001983141721505975,0.07754794034090909,0.0388216776371164,A50,0.0
6.600960143400809e-05,-83.60784463169941,6.600742289613644e-05,0.10894951969385147,-1.050559163093567,1.6799077987670898,-808.816871894903,133.83420077922958,3.7393394027248053,-88.93590776775119,6.948825914812767,32.837225870054034,4.930183157313914,-17.906224172743563,5.4253503157263765,-21.16970247300463,6.003622501841527,3.9794596495952175,4.261030965287077,-34.17170325129897,4.602221086625384,-5.101615866857673,4.251680601089097,-13.45414697655778,5.209124629569278,-19.844784036354717,5.216512178391762,-7.994756467343498,4.147017096287884,-20.798007530022574,5.936616186429722,0.2088414328335448,0.25568696875695424,0.242586171268703,0.18925338856756704,0.09274882982351829,2.4625208120934805,0.24952236197577174,0.19012209553019138,7.522594906253608,0.020901665758882377,7.207016890665895,0.050391736572037105,8.148850489624646,0.018882153722115835,0.0044502100313266995,0.00233462116283016,0.13496537642045456,0.017902296069381582,0.03020540268992953,0.002807640831314942,0.10120738636363637,0.054802747260781194,A50,0.0
6.701185682963128e-05,-83.47695399916782,6.700961163545593e-05,0.0769859105348587,-1.894490361213684,2.9705915451049805,-805.6096032174646,132.44283749124457,3.5391796351954405,-92.06010685968526,5.05303183898525,32.20178375250434,3.412968991181705,-21.549840853092746,4.439977559230632,-23.082674882018573,4.577876759526144,4.0666314739105465,3.4382447335691237,-34.447749369947076,4.10400004831021,-4.39007124944084,4.175697545444795,-12.505766191991075,4.02098728729302,-19.825344154069843,3.981462946137544,-9.236338903469301,4.345000622251433,-21.177446651537995,3.5005531562781003,0.17402518353221952,0.25385051751836807,0.2704497048614023,0.18607860210316673,0.10791734884916415,2.575610738587998,0.18112033460427943,0.19967422335024287,7.5445199754681145,0.030836496449167014,7.202400928424447,0.027964690648328752,8.162581862921492,0.02059222276353814,0.004186173690412193,0.0011578241730044769,0.14231178977272727,0.019829557458069556,0.029688835966363625,0.0016568550260240423,0.09867720170454547,0.039378028381859324,A50,0.0
4.390587492452588e-05,-87.14952749940265,4.390491108981134e-05,0.0876561775803566,-0.7571909427642822,0.8207013607025146,-861.6796639370322,130.86516555615432,3.3557060781290207,-58.50288216739287,5.16967754497379,28.397888401359822,3.330821970043116,-9.677524957039324,3.9750274537313057,-21.19434914951541,4.620520690014222,7.683250159339675,4.778698529058994,-23.093461200216765,4.129809443854168,-8.15004407002621,4.1432122071802056,-12.028321459917317,3.614011777177739,-23.657821537232095,4.334996765703851,-11.068334053612903,3.764000687430164,-20.097426076369686,3.6314034749297686,0.42393911470027007,0.27516208312871304,0.11393778410967792,0.07526303784107811,0.04004426624196212,1.2170066594587547,0.19761393334526076,0.11093488310917733,7.352114996316229,0.03316912056399044,7.220504780886158,0.0436139008863017,8.082108195058568,0.022301171267664177,0.004050613315182769,0.0008651496823491407,0.08766867897727272,0.014157651308431341,0.035815020080190045,0.0032504381414847484,0.07004616477272727,0.013409948571377277,iphone,0.005
6.250107993555499e-05,-84.08223567402621,6.249912682443905e-05,0.432171106338501,0.9447423219680786,-0.41731786727905273,-849.2346758687255,132.67420814074356,4.920227339711839,-62.378315800320365,13.025929604132163,33.34420880076363,10.380822599874614,-12.536836744940508,8.380996965197111,-25.643921718392825,4.326172674839638,5.75947428364897,3.811604799868118,-28.253541362517254,6.480920728402157,-14.409774193782766,4.159933381828159,-16.542071114804884,5.228579394519449,-22.542782212743585,4.018177815558388,-9.691558805768246,4.094014157189084,-21.62840599243537,6.601281405771891,0.24057803217166848,0.4360289728678273,0.09653367174513432,0.10281703660716009,0.09977600736460518,1.2409772693173553,0.2831994569126441,0.12662371657695,7.377301960785775,0.10315734296546662,7.2127030881368706,0.032702195074049555,8.086496694423177,0.05577096812193908,0.0035642276005996105,0.0012263824625476595,0.09719016335227272,0.018985675847247828,0.03741092452262731,0.01933120927342275,0.06325461647727273,0.016089540604606847,iphone,0.005
3.910887971407504e-05,-88.15447027790296,3.910811498177728e-05,0.09291969239711761,-1.2983477115631104,0.9957945346832275,-864.2827103475139,129.44572330551736,3.8674661760718627,-60.05349615615223,4.419492453948135,24.45337615277143,2.4474527393171526,-12.262404706009544,3.9361734164415423,-24.207217949940375,3.455552866285868,4.133571534773714,3.8363352288863903,-23.88251885739205,3.8277761010776694,-8.192458297837899,4.562485870744681,-11.531769179068208,4.949245530020028,-21.79544868435754,3.0109373824163916,-10.436171685212694,2.5328319190153157,-20.28699347831193,3.1170390051987087,0.3702876419026678,0.300412402521627,0.16007821231913505,0.0890718754343742,0.04485827176382168,1.5858497252902801,0.21372562021939662,0.11740790571942064,7.37354736847615,0.0299514842516388,7.20907677586247,0.03683940899233311,8.082369896730814,0.02405762068744691,0.004831889168445538,0.0008148226545033324,0.09628018465909091,0.015074759471063952,0.03326720636542245,0.004032848350361713,0.06325461647727273,0.013486504003401687,iphone,0.005
3.7659493107582605e-05,-88.48248753242332,3.7658784006674907e-05,0.08818922936916351,-0.19391338527202606,-1.0505679845809937,-867.5083094173156,126.27450177992782,4.568613052414511,-60.55271559052981,5.4451994055683945,26.229757639093897,2.86781996013257,-9.725476714105756,3.178679428591936,-22.69799612026638,3.4436777101668996,3.633258645339952,3.528122944045411,-26.30573371640917,3.83591346676721,-10.118299769878133,2.683667579031599,-12.12993493240056,4.384067606758801,-22.539669220890676,4.412973274351571,-10.636067693479985,2.8303526391244342,-19.955848558264897,3.421217088039899,0.3674303559400576,0.33685740410628884,0.1322788500372782,0.09685816323916296,0.04842802049384765,1.4413207507675012,0.16694573763201004,0.1246993290623416,7.395073831776028,0.030487770035164723,7.220107034988154,0.037826045863969655,8.099077435305416,0.0271576924804792,0.005117217726220263,0.000911917672967171,0.09896573153409091,0.01816235985772343,0.03299612149462636,0.0030960409913918545,0.060280539772727265,0.01360570756189408,iphone,0.005
